,epsilon,g,gamma_hot,gamma_cold,temperature_hot,temperature_cold,concurrence
0,1,0.02,0.001,0.1,0.1,0.01,0.0
1,1,0.02,0.001,0.1,0.2,0.01,0.00018556026890381787
2,1,0.02,0.001,0.1,0.30000000000000004,0.01,0.0010073138581536412
3,1,0.02,0.001,0.1,0.4,0.01,0.002415835988661143
4,1,0.02,0.001,0.1,0.5,0.01,0.004186037606744795
5,1,0.02,0.001,0.1,0.6,0.01,0.006157327290373198
6,1,0.02,0.001,0.1,0.7000000000000001,0.01,0.008233500221194706
7,1,0.02,0.001,0.1,0.8,0.01,0.010357509413353274
8,1,0.02,0.001,0.1,0.9,0.01,0.012494740051948162
9,1,0.02,0.001,0.1,1.0,0.01,0.014623626161866816
10,1,0.02,0.001,0.1,1.1,0.01,0.016730441178736302
11,1,0.02,0.001,0.1,1.2000000000000002,0.01,0.018806331420987366
12,1,0.02,0.001,0.1,1.3000000000000003,0.01,0.020845568633536104
13,1,0.02,0.001,0.1,1.4000000000000001,0.01,0.022844484913757526
14,1,0.02,0.001,0.1,1.5000000000000002,0.01,0.024800802600895056
15,1,0.02,0.001,0.1,1.6,0.01,0.02671320039963308
16,1,0.02,0.001,0.1,1.7000000000000002,0.01,0.02858102519195041
17,1,0.02,0.001,0.1,1.8000000000000003,0.01,0.030404096244633937
18,1,0.02,0.001,0.1,1.9000000000000001,0.01,0.03218256951675608
19,1,0.02,0.001,0.1,2.0,0.01,0.033916841963170755
20,1,0.02,0.001,0.1,2.1,0.01,0.03560748300862669
21,1,0.02,0.001,0.1,2.2,0.01,0.03725518482542607
22,1,0.02,0.001,0.1,2.3000000000000003,0.01,0.03886072584366938
23,1,0.02,0.001,0.1,2.4000000000000004,0.01,0.04042494371520204
24,1,0.02,0.001,0.1,2.5000000000000004,0.01,0.04194871512404294
25,1,0.02,0.001,0.1,2.6,0.01,0.04343294061627643
26,1,0.02,0.001,0.1,2.7,0.01,0.044878533150751715
27,1,0.02,0.001,0.1,2.8000000000000003,0.01,0.04628640943534691
28,1,0.02,0.001,0.1,2.9000000000000004,0.01,0.04765748336714892
29,1,0.02,0.001,0.1,3.0000000000000004,0.01,0.04899266107420861
30,1,0.02,0.001,0.1,3.1,0.01,0.05029283718491014
31,1,0.02,0.001,0.1,3.2,0.01,0.05155889204394391
32,1,0.02,0.001,0.1,3.3000000000000003,0.01,0.05279168966191382
33,1,0.02,0.001,0.1,3.4000000000000004,0.01,0.05399207623589431
34,1,0.02,0.001,0.1,3.5000000000000004,0.01,0.05516087911576783
35,1,0.02,0.001,0.1,3.6,0.01,0.056298906119409874
36,1,0.02,0.001,0.1,3.7,0.01,0.05740694512119194
37,1,0.02,0.001,0.1,3.8000000000000003,0.01,0.05848576385464215
38,1,0.02,0.001,0.1,3.9000000000000004,0.01,0.059536109882696565
39,1,0.02,0.001,0.1,4.0,0.01,0.060558710698722845
40,1,0.02,0.001,0.1,4.1,0.01,0.061554273929105945
41,1,0.02,0.001,0.1,4.2,0.01,0.06252348761413627
42,1,0.02,0.001,0.1,4.3,0.01,0.06346702054863673
